,Ingredient,Skin Type,Concern
0,Alpha hydroxy acid (AHAs),"Oily,Combination","Exfoliation, Dark Spots, Pigmentation"
1,Astaxanthin,All,"Sun protection, Antioxidant"
2,Broad-spectrum sunscreen,All,Sun protection
3,Citric acid,"Oily,Combination","Exfoliation, Brightening"
4,Amino Acids,All,"Hydration, Skin soothing"
5,Baking soda,Oily,Exfoliation
6,Butylene glycol,All,Hydration
7,Chamomile,Sensitive,"Skin soothing, Irritation"
8,Allantoin,"Sensitive,Dry","Skin soothing, Hydration"
9,Beta hydroxy acids (BHAs),"Oily,Combination","Acne, Exfoliation, Pores"
10,Caffeine,All,"Puffiness, Dark circles"
11,Charcoal,Oily,"Acne, Pores, Whitehead/Blackhead"
12,Aloe vera,"Sensitive,Dry","Hydration, Skin soothing"
13,Bakuchiol,All,"Anti-aging, Acne"
14,Calcium bentonite clay,Oily,"Acne, Pores"
15,Chia seed oil,Dry,"Hydration, Skin soothing"
16,Antioxidants,All,"Sun protection, Anti-aging"
17,Beeswax,Dry,"Hydration, Skin soothing"
18,Castor oil,Dry,Hydration
19,Apple cider vinegar,Oily,"Acne, Exfoliation"
20,Benzoyl peroxide,"Oily,Combination","Acne, Pimples"
21,CBD oil (Cannabidiol),Sensitive,"Inflammation, Skin soothing"
22,Coconut oil,Dry,Hydration
23,Argan oil,"Dry,Normal","Hydration, Anti-aging"
24,Calamine lotion,Sensitive,"Skin soothing, Irritation"
25,Collagen,All,"Anti-aging, Hydration"
26,Azelaic acid,"Combination,Oily","Acne, Pigmentation"
27,Biotin,All,Skin health
28,Ceramides,"Dry,Sensitive","Hydration, Broken barrier"
29,Dimethicone,All,"Hydration, Skin soothing"
30,Emollients,Dry,"Hydration, Skin soothing"
31,Glycolic acid,"Normal,Oily,Combination","Exfoliation, Dark Spots"
32,Jojoba oil,All,"Hydration, Acne"
33,Epidermal growth factors (EGF),All,"Anti-aging, Skin repair"
34,Grapeseed extract,All,"Antioxidant, Sun protection"
35,Hyaluronic acid,All,Hydration
36,Kaolin clay,"Oily,Combination","Acne, Pores"
37,Eucalyptus oil,Oily,"Acne, Pores"
38,Hydrocortisone,Sensitive,"Irritation, Inflammation"
39,Keratin,All,Strengthening
40,Ferulic acid,All,"Antioxidant, Sun protection"
41,Green tea,All,"Antioxidant, Skin soothing"
42,Kojic acid,All,"Pigmentation, Dark Spots"
43,Glycerin (glycerol),All,Hydration
44,Hemp oil,"Sensitive,Dry","Hydration, Skin soothing"
45,Humectants,All,Hydration
46,Lactic acid,"Dry,Normal","Exfoliation, Hydration"
47,Mandelic acid,Sensitive,"Exfoliation, Acne"
48,Niacinamide,All,"Pores, Acne, Pigmentation"
49,Petroleum jelly,Dry,"Hydration, Occlusive"
50,Lactobionic acid,Sensitive,"Exfoliation, Hydration"
51,Occlusive,Dry,"Hydration, Broken barrier"
52,Prebiotics,All,Skin health
53,Lanolin oil,Dry,"Hydration, Skin soothing"
54,Olive oil,Dry,"Hydration, Anti-aging"
55,Probiotics,All,"Skin health, Acne"
56,Lavender oil,Sensitive,"Skin soothing, Irritation"
57,Omega fatty acids,All,"Hydration, Skin health"
58,Peptides,All,"Anti-aging, Skin repair"
59,Lemon,Oily,"Brightening, Exfoliation"
60,Panthenol,All,"Hydration, Skin soothing"
61,Magnesium oil,All,Skin health
62,Mineral oil,Dry,"Hydration, Occlusive"
63,Peppermint oil,Oily,"Acne, Pores"
64,Pomegranate oil,All,"Antioxidant, Anti-aging"
65,Retinol,"Normal,Oily,Combination","Anti-aging, Acne, Pigmentation"
66,Sodium lauryl sulfate,Oily,Cleansing
67,Tranexamic acid,All,"Pigmentation, Dark Spots"
68,Zinc Oxide,All,"Sun protection, Skin soothing"
69,Retinoid,"Normal,Oily,Combination","Anti-aging, Acne, Pigmentation"
70,Turmeric,All,"Brightening, Anti-inflammatory"
71,Resveratrol,All,"Antioxidant, Anti-aging"
72,SPF (Sun protection factor),All,Sun protection
73,Vitamin A,"Normal,Oily,Combination","Anti-aging, Acne"
74,Rice flour,Oily,"Exfoliation, Oil control"
75,Squalane/squalene,All,"Hydration, Anti-aging"
76,Vitamin C,All,"Brightening, Antioxidant, Sun protection"
77,Salicylic acid,"Oily,Combination","Acne, Exfoliation, Pores"
78,Sulfur,Oily,"Acne, Pimples"
79,Vitamin E,All,"Antioxidant, Hydration"
80,Sea salt,Oily,"Exfoliation, Acne"
81,Tea tree oil,"Oily,Combination","Acne, Pimples"
82,Vitamin K,All,"Dark circles, Bruising"
83,Shea butter,Dry,"Hydration, Skin soothing"
84,Titanium dioxide,All,Sun protection
85,Witch hazel,"Oily,Combination","Pores, Acne"
